iter	Logloss
0	0.6584952845
1	0.623427732
2	0.5966119448
3	0.5691799253
4	0.5484394555
5	0.5295931651
6	0.5110020486
7	0.4939395553
8	0.479875687
9	0.4669905689
10	0.4561208448
11	0.445325976
12	0.435519199
13	0.4272940318
14	0.4195269556
15	0.4134241342
16	0.4093063821
17	0.4033781539
18	0.3982316592
19	0.3928208835
20	0.3887627803
21	0.38486339
22	0.3822464727
23	0.3795127403
24	0.3770721966
25	0.3736195505
26	0.370739638
27	0.3677171804
28	0.3648066602
29	0.3632839277
30	0.3610279799
31	0.3595757024
32	0.3582026233
33	0.3566439548
34	0.3549667288
35	0.3531487669
36	0.3512290438
37	0.3495002516
38	0.348308542
39	0.3471997283
40	0.3455687037
41	0.3442784731
42	0.343238336
43	0.3418466978
44	0.340671869
45	0.3396854901
46	0.3390711306
47	0.3382306922
48	0.3372879602
49	0.3364723594
50	0.3355182989
51	0.3347032761
52	0.3336906467
53	0.3328114356
54	0.3321815665
55	0.3314812034
56	0.3309031688
57	0.3301221525
58	0.3291696149
59	0.3287013839
60	0.3282712865
61	0.3275355435
62	0.3267726503
63	0.3261454447
64	0.3255199703
65	0.324938754
66	0.3244837983
67	0.3239361788
68	0.3234933549
69	0.3229620638
70	0.3224717846
71	0.3218979456
72	0.3216111343
73	0.3213471103
74	0.3209383015
75	0.3205803938
76	0.3201137713
77	0.3196721202
78	0.319392866
79	0.3189418697
80	0.3185573878
81	0.3183080843
82	0.3180620548
83	0.3177193977
84	0.3173832528
85	0.3169771817
86	0.316732617
87	0.3165058235
88	0.3163049767
89	0.315930413
90	0.3157344391
91	0.3154194965
92	0.3152470283
93	0.3149497734
94	0.3146723726
95	0.314338816
96	0.3141185743
97	0.3139622155
98	0.3132673254
99	0.3129943146
100	0.3128478041
101	0.3126399147
102	0.3124149171
103	0.3122642839
104	0.3120483887
105	0.3118823093
106	0.3115810727
107	0.3113477966
108	0.3111408554
109	0.3105780064
110	0.3103602925
111	0.3100477622
112	0.3098782377
113	0.3097449933
114	0.3095745439
115	0.3093193877
116	0.3090831069
117	0.3088648748
118	0.3086789671
119	0.3084472627
120	0.3082932395
121	0.3081665987
122	0.3078061282
123	0.3076216565
124	0.3074685057
125	0.3073260979
126	0.3071755731
127	0.3065289648
128	0.3063529499
129	0.3062188986
130	0.3060064033
131	0.3058814527
132	0.3057011906
133	0.3055184667
134	0.3054168387
135	0.3052042971
136	0.3049866553
137	0.3048643889
138	0.3047427017
139	0.3044419376
140	0.3043203657
141	0.3039591116
142	0.3037069846
143	0.3035701585
144	0.3034625792
145	0.3033154125
146	0.3029997211
147	0.3028948514
148	0.302749928
149	0.3026538442
150	0.302486325
151	0.3023549694
152	0.3021263793
153	0.302004305
154	0.3019325405
155	0.3017943001
156	0.3016667641
157	0.3015263706
158	0.301415136
159	0.3013431239
160	0.3012630636
161	0.3011679311
162	0.3009937833
163	0.3008651969
164	0.3007611984
165	0.3006223069
166	0.3004621377
167	0.3003779938
168	0.3001425863
169	0.3000398026
170	0.2998301435
171	0.299754307
172	0.2996629081
173	0.2994458952
174	0.2993629597
175	0.2992700062
176	0.2991578697
177	0.2990621873
178	0.2989829562
179	0.2989114384
180	0.2988512675
181	0.2987551645
182	0.2985766182
183	0.2985085887
184	0.2984286491
185	0.2983497172
186	0.2982627275
187	0.2982010089
188	0.2981471419
189	0.2979852473
190	0.2978604836
191	0.2977469517
192	0.2976665784
193	0.2975649503
194	0.2972185884
195	0.2971032647
196	0.2970417752
197	0.2969737701
198	0.2967035911
199	0.2965067276
200	0.2964282463
201	0.2963021275
202	0.2962221053
203	0.2961330636
204	0.2959232803
205	0.2958594361
206	0.2957947117
207	0.2957027077
208	0.2956492789
209	0.2955909087
210	0.2955421081
211	0.2953001938
212	0.2952396901
213	0.2951983491
214	0.2951263534
215	0.29490331
216	0.2948439866
217	0.2947869419
218	0.2947240818
219	0.2946430889
220	0.294535059
221	0.2944776881
222	0.2944027703
223	0.2943420622
224	0.2942484388
225	0.294187437
226	0.2940692954
227	0.2939331984
228	0.2938354962
229	0.2937764481
230	0.2937180473
231	0.2936087456
232	0.2935378405
233	0.2934666773
234	0.2933112506
235	0.2932228584
236	0.2930870418
237	0.2930414455
238	0.2929543095
239	0.2927717799
240	0.2927236531
241	0.2924365899
242	0.2924012137
243	0.2923386498
244	0.2920786928
245	0.2920073715
246	0.2919187986
247	0.2918698551
248	0.291827168
249	0.2917637342
250	0.2917192988
251	0.2916673357
252	0.2916045381
253	0.2915408671
254	0.291407252
255	0.2912828471
256	0.2911758979
257	0.2909999085
258	0.2909475445
259	0.290906073
260	0.2908363321
261	0.2907809546
262	0.2907321696
263	0.2905543594
264	0.2905187854
265	0.2904655687
266	0.290377335
267	0.290304449
268	0.2902635912
269	0.2901643529
270	0.2901142341
271	0.2900662594
272	0.2899127791
273	0.2898707844
274	0.2898197707
275	0.2897730083
276	0.2897196277
277	0.2896771139
278	0.2895006233
279	0.2894011235
280	0.2893436733
281	0.2892830959
282	0.2891882843
283	0.2891349747
284	0.2889866599
285	0.2889249483
286	0.2888617001
287	0.2887307485
288	0.2885814395
289	0.288472876
290	0.2882681395
291	0.2882409046
292	0.2881215283
293	0.2880794908
294	0.2880183917
295	0.2879225323
296	0.2878838942
297	0.287815464
298	0.287773322
299	0.2876803281
300	0.2875206875
301	0.2873838101
302	0.2873464541
303	0.2872700076
304	0.2871699839
305	0.2871029432
306	0.2870004443
