iter	Passed	Remaining
0	33	33480
1	46	22954
2	57	19239
3	71	17708
4	83	16533
5	94	15597
6	105	14965
7	116	14436
8	127	14062
9	137	13659
10	148	13352
11	157	12943
12	168	12785
13	177	12494
14	186	12260
15	196	12105
16	206	11934
17	218	11899
18	226	11713
19	243	11929
20	253	11816
21	267	11888
22	281	11969
23	295	11998
24	306	11962
25	321	12036
26	332	11976
27	342	11874
28	352	11788
29	362	11718
30	370	11595
31	383	11589
32	393	11537
33	402	11447
34	415	11467
35	425	11387
36	445	11597
37	454	11513
38	499	12303
39	519	12460
40	540	12643
41	559	12763
42	574	12783
43	583	12674
44	592	12575
45	601	12466
46	610	12379
47	618	12271
48	628	12196
49	638	12123
50	647	12047
51	656	11961
52	664	11873
53	673	11806
54	682	11726
55	691	11656
56	700	11587
57	709	11527
58	718	11460
59	728	11412
60	737	11354
61	747	11305
62	756	11250
63	765	11199
64	774	11144
65	783	11085
66	793	11048
67	802	10995
68	811	10949
69	820	10906
70	829	10855
71	839	10823
72	848	10771
73	858	10740
74	867	10695
75	876	10661
76	885	10618
77	895	10581
78	904	10543
79	913	10506
80	924	10485
81	933	10450
82	943	10420
83	952	10385
84	961	10345
85	969	10304
86	978	10267
87	987	10234
88	996	10197
89	1005	10168
90	1014	10131
91	1024	10109
92	1033	10075
93	1042	10048
94	1051	10020
95	1060	9986
96	1070	9963
97	1078	9928
98	1089	9911
99	1099	9892
100	1108	9866
101	1117	9839
102	1127	9816
103	1136	9794
104	1146	9770
105	1156	9750
106	1165	9724
107	1174	9700
108	1183	9675
109	1192	9649
110	1201	9619
111	1209	9589
112	1218	9563
113	1226	9536
114	1236	9516
115	1246	9501
116	1256	9481
117	1265	9460
118	1274	9437
119	1283	9410
120	1292	9386
121	1301	9366
122	1310	9344
123	1320	9326
124	1329	9306
125	1338	9285
126	1348	9267
127	1357	9245
128	1365	9222
129	1374	9201
130	1384	9184
131	1393	9160
132	1415	9225
133	1424	9203
134	1433	9185
135	1442	9165
136	1451	9145
137	1461	9126
138	1470	9106
139	1479	9086
140	1488	9069
141	1497	9050
142	1506	9027
143	1515	9009
144	1524	8988
145	1533	8970
146	1542	8948
147	1552	8935
148	1561	8917
149	1569	8896
150	1579	8878
151	1587	8859
152	1597	8843
153	1606	8822
154	1615	8809
155	1624	8789
156	1634	8773
157	1642	8754
158	1652	8738
159	1661	8722
160	1670	8703
161	1679	8688
162	1687	8665
163	1696	8646
164	1705	8630
165	1714	8615
166	1722	8592
167	1732	8579
168	1741	8563
169	1750	8546
170	1759	8529
171	1768	8512
172	1777	8496
173	1785	8477
174	1796	8466
175	1804	8448
176	1814	8435
177	1823	8423
178	1849	8481
179	1861	8480
180	1870	8462
181	1879	8445
182	1887	8427
183	1897	8415
184	1907	8402
185	1916	8387
186	1925	8370
187	1933	8353
188	1943	8338
189	1951	8319
190	1960	8303
191	1969	8286
192	1978	8273
193	1987	8258
194	1997	8247
195	2006	8230
196	2015	8214
197	2023	8198
198	2032	8180
199	2041	8165
200	2049	8148
201	2058	8133
202	2067	8117
203	2076	8102
204	2084	8085
205	2093	8070
206	2102	8053
207	2112	8043
208	2121	8028
209	2130	8015
210	2139	8000
211	2147	7982
212	2156	7968
213	2165	7952
214	2173	7937
215	2182	7922
216	2191	7908
217	2200	7894
218	2210	7882
219	2218	7866
220	2228	7855
221	2237	7840
222	2246	7826
223	2255	7814
224	2265	7801
225	2273	7787
226	2282	7772
227	2292	7761
228	2301	7747
229	2310	7736
230	2319	7722
231	2343	7759
232	2353	7747
233	2363	7737
234	2373	7725
235	2382	7712
236	2391	7700
237	2400	7685
238	2418	7699
239	2428	7690
240	2438	7679
241	2446	7663
242	2456	7653
243	2467	7644
244	2477	7633
245	2487	7625
246	2496	7610
247	2506	7600
248	2516	7589
249	2525	7576
250	2534	7563
251	2543	7549
252	2553	7538
253	2561	7523
254	2571	7512
255	2581	7501
256	2590	7489
257	2600	7478
258	2608	7463
259	2618	7451
260	2626	7437
261	2635	7423
262	2645	7412
263	2655	7402
264	2664	7389
265	2673	7376
266	2682	7364
267	2691	7351
